Type,Category,Japanese,Korean_Translation
Noun,시간공간,空間,공간
Noun,시간공간,工作室,작업실
Noun,시간공간,劇場,극장
Noun,시간공간,舞台,무대
Noun,시간공간,瞬間,순간
Noun,시간공간,立即,즉시
Noun,시간공간,永恆,영원
Noun,시간공간,永遠,영원
Noun,감각체험,触感,촉감
Noun,감각체험,温度,온도
Noun,감각체험,香り,향기
Noun,감각체험,味,맛
Noun,감각체험,響き,울림
Noun,감각체험,記憶,기억
Noun,감각체험,瞬間,순간
Noun,감각체험,永続,영속
Noun,감각체험,変化,변화
Noun,감각체험,静寂,정적
Noun,감각체험,騒音,소음
Noun,감각체험,調和,조화
Noun,감각체험,混沌,혼돈
Noun,감각체험,光,빛
Noun,감각체험,影,그림자
Noun,감각체험,明,밝음
Noun,감각체험,暗,어둠
